Tract,CALI
V1,-0.9493616552694758
V2,-0.9571255681076509
V3,-0.9184661031781607
V4,-0.9285034805267148
V5,-0.954592254497589
V6,-0.9519084204865246
V7,-0.9443930129784744
V8,-0.9009422915749884
V9,-0.9433960144348665
V10,-0.9181170532122813
V11,-0.9707960191058438
V12,-0.9307557995268655
V13,-0.9938524516493323
V14,-0.9678468184706632
V15,-0.9235053945721201
V16,-0.9088999445572363
V17,-0.9448486244358093
V18,-0.9423687328219874
V19,-0.8633415945298237
whole GM,27.25318270521975
Tract,CALI
V1,-0.949361655269476
V2,-0.9571255681076513
V3,-0.9184661031781616
V4,-0.9285034805267148
V5,-0.9545922544975892
V6,-0.9519084204865249
V7,-0.944393012978475
V8,-0.9009422915749892
V9,-0.9433960144348671
V10,-0.9181170532122813
V11,-0.9707960191058439
V12,-0.9307557995268659
V13,-0.9938524516493323
V14,-0.9678468184706636
V15,-0.9235053945721204
V16,-0.9088999445572373
V17,-0.9448486244358099
V18,-0.9423687328219877
V19,-0.8633415945298243
whole GM,27.253182705219757
Tract,CALI
V1,-0.949361655269476
V2,-0.9571255681076508
V3,-0.9184661031781616
V4,-0.9285034805267145
V5,-0.954592254497589
V6,-0.9519084204865247
V7,-0.9443930129784748
V8,-0.9009422915749887
V9,-0.9433960144348668
V10,-0.9181170532122813
V11,-0.9707960191058438
V12,-0.9307557995268655
V13,-0.9938524516493323
V14,-0.9678468184706635
V15,-0.9235053945721201
V16,-0.908899944557237
V17,-0.9448486244358094
V18,-0.9423687328219874
V19,-0.8633415945298243
whole GM,27.253182705219754
